,start_freq,end_freq,Confidence
11316,1854.053020477295,1854.0537357330322,0.9227785468101501
11317,1854.0701866149902,1854.0709018707275,0.903864860534668
11318,1854.1038036346436,1854.1045188903809,0.9256458282470703
11319,1854.1088104248047,1854.109525680542,0.9288301467895508
11320,1854.1231155395508,1854.123830795288,0.9018675684928894
11321,1854.341983795166,1854.3426990509033,0.9114630222320557
11322,1854.3555736541748,1854.356288909912,0.9276041984558105
11323,1854.3906211853027,1854.39133644104,0.9008004069328308
11324,1854.402780532837,1854.4034957885742,0.92290860414505
11325,1854.4964790344238,1854.4971942901611,0.9201347231864929
11326,1854.6366691589355,1854.6373844146729,0.9165499210357666
11327,1854.677438735962,1854.6781539916992,0.9078881740570068
11328,1854.6924591064453,1854.6931743621826,0.9344187378883362
11329,1854.9435138702393,1854.9442291259766,0.9063549041748047
11330,1854.9671173095703,1854.9678325653076,0.9239845871925354
11331,1855.0701141357422,1855.0708293914795,0.9032410979270935
11332,1855.072259902954,1855.0729751586914,0.9028506875038147
11333,1855.248212814331,1855.2489280700684,0.9077575206756592
11334,1855.2660942077637,1855.266809463501,0.9091686606407166
11335,1855.2896976470947,1855.290412902832,0.9093288779258728
11336,1855.2911281585693,1855.2918434143066,0.927722692489624
11337,1855.3283214569092,1855.3290367126465,0.9355242848396301
11338,1855.3683757781982,1855.3690910339355,0.9411835670471191
11339,1855.384111404419,1855.3848266601562,0.9513964653015137
11340,1855.468511581421,1855.4692268371582,0.9079363942146301
11341,1855.4964065551758,1855.497121810913,0.906227171421051
11342,1855.7496070861816,1855.750322341919,0.9156901836395264
11343,1855.7603359222412,1855.7610511779785,0.9230069518089294
11344,1855.8154106140137,1855.816125869751,0.9263059496879578
11345,1855.8611869812012,1855.8619022369385,0.9128208756446838
11346,1855.9455871582031,1855.9463024139404,0.9353920817375183
11347,1856.0349941253662,1856.0357093811035,0.9106218218803406
11348,1856.0364246368408,1856.0371398925781,0.9229764938354492
11349,1856.0714721679688,1856.072187423706,0.9008483290672302
11350,1856.1630249023438,1856.163740158081,0.9201834797859192
11351,1856.2638759613037,1856.264591217041,0.9052690863609314
11352,1856.3518524169922,1856.3525676727295,0.9321849346160889
11353,1856.379747390747,1856.3804626464844,0.9022214412689209
11354,1856.4140796661377,1856.414794921875,0.935859739780426
11355,1856.4376831054688,1856.438398361206,0.9026839137077332
11356,1856.5471172332764,1856.5478324890137,0.9583761692047119
11357,1856.6787242889404,1856.6794395446777,0.9273759722709656
11358,1856.7137718200684,1856.7144870758057,0.9018799662590027
11359,1856.762409210205,1856.7631244659424,0.9135709404945374
11360,1856.9755554199219,1856.9762706756592,0.9014059901237488
11361,1856.9819927215576,1856.982707977295,0.9185298085212708
11362,1856.9834232330322,1856.9841384887695,0.9066551327705383
11363,1857.170820236206,1857.1715354919434,0.9189095497131348
11364,1857.1844100952148,1857.1851253509521,0.9065797924995422
11365,1857.224464416504,1857.2251796722412,0.9008408188819885
11366,1857.3639392852783,1857.3646545410156,0.911467969417572
11367,1857.4118614196777,1857.412576675415,0.9013189673423767
11368,1857.5019836425781,1857.5026988983154,0.911222517490387
11369,1857.5749397277832,1857.5756549835205,0.9096214771270752
11370,1857.6371669769287,1857.637882232666,0.9301438331604004
11371,1857.7594757080078,1857.7601909637451,0.9226303696632385
11372,1857.8474521636963,1857.8481674194336,0.9006478190422058
11373,1857.954740524292,1857.9554557800293,0.9057266116142273
