,start_freq,end_freq,fit,SNR
0,1922.977352142334,1922.9780673980713,0.8006561398506165,1.8586353063583374
1,1960.8716011047363,1960.8723163604736,0.961541473865509,1.9034751653671265
2,1953.4250736236572,1953.4257888793945,0.9151532649993896,2.036302089691162
3,1936.668062210083,1936.6687774658203,0.9395060539245605,1.9796432256698608
4,1936.4384651184082,1936.4391803741455,0.9066665768623352,1.9476885795593262
5,1936.2653732299805,1936.2660884857178,0.91839998960495,1.8902802467346191
6,1936.2625122070312,1936.2632274627686,0.9474771022796631,2.029109001159668
7,1935.6817245483398,1935.6824398040771,0.932417631149292,1.826884150505066
8,2322.657251358032,2322.6579666137695,0.9541956782341003,1.7791533470153809
9,2443.5025691986084,2443.5032844543457,0.9416384696960449,1.9106791019439697
