,start_freq,end_freq,fit,SNR
0,1180.9322834014893,1180.9329986572266,0.9666664600372314,1.855049967765808
1,1177.3595809936523,1177.3602962493896,0.9569290280342102,1.9395670890808105
2,1305.2465915679932,1305.2473068237305,0.8464059233665466,1.970451831817627
3,1305.2287101745605,1305.2294254302979,0.871589720249176,2.2419321537017822
4,1305.2215576171875,1305.2222728729248,0.8801865577697754,2.3858802318573
5,1305.2036762237549,1305.2043914794922,0.7646186947822571,2.4294040203094482
6,1302.748203277588,1302.7489185333252,0.7962422370910645,1.758466124534607
7,1311.0036849975586,1311.004400253296,0.7054660320281982,1.8180468082427979
8,1308.2664012908936,1308.2671165466309,0.8530295491218567,2.567188262939453
9,1308.1705570220947,1308.171272277832,0.8151469826698303,2.304544448852539
10,1308.0875873565674,1308.0883026123047,0.7355251312255859,2.0240492820739746
11,1307.694911956787,1307.6956272125244,0.8715266585350037,4.345860958099365
12,1307.4946403503418,1307.495355606079,0.763861358165741,10.954595565795898
13,1306.7286014556885,1306.7293167114258,0.8848154544830322,1.8321571350097656
14,1306.4939975738525,1306.4947128295898,0.7120132446289062,1.7420265674591064
15,1362.4999523162842,1362.5006675720215,0.7919945120811462,1.7673654556274414
16,1545.39155960083,1545.3922748565674,0.9641701579093933,2.0168371200561523
17,1681.4489364624023,1681.4496517181396,0.8424952626228333,1.7878468036651611
