,start_freq,end_freq,fit
0,1053.0056154763379,1053.011422587339,0.8993008732795715
1,1091.167771308226,1091.173578419227,0.8601675033569336
2,1089.6579224479683,1089.6637295589692,0.8024304509162903
3,1089.0830184588701,1089.0888255698712,0.8159789443016052
4,1088.682327799802,1088.6881349108028,0.8411626815795898
5,1299.2880965838701,1299.2939036948712,0.7213042378425598
6,1292.9931882587957,1292.9989953697968,0.731886088848114
7,1290.4032167523537,1290.4090238633548,0.9428351521492004
8,1287.6099963608772,1287.615803471878,0.7308892607688904
9,1273.1096401914024,1273.1154473024035,0.8802595138549805
10,1269.1840331547323,1269.1898402657334,0.7150447368621826
11,1267.436092743434,1267.4418998544352,0.8139724135398865
12,1258.3479640268831,1258.353771137884,0.8010103702545166
13,1258.1795578078543,1258.1853649188554,0.7001860737800598
14,1340.0460310332012,1340.051838144202,0.7482016682624817
15,1320.028919412785,1320.0347265237858,0.8049195408821106
16,1412.168171998885,1412.173979109886,0.7206997275352478
17,1405.7048574547819,1405.710664565783,0.7075040340423584
18,1399.4680202397176,1399.4738273507185,0.8173224925994873
19,1399.195086022671,1399.200893133672,0.7345951199531555
20,1398.8989233616205,1398.9047304726214,0.7408909797668457
21,1391.6226132773786,1391.6284203883795,0.7626504302024841
22,1391.256765284316,1391.2625723953172,0.7765815854072571
23,1387.4240720236621,1387.429879134663,0.9444351196289062
24,1387.2614729156344,1387.2672800266353,0.7750823497772217
25,1377.9642882030475,1377.9700953140486,0.7559382915496826
26,1372.4010758640982,1372.406882975099,0.7887696623802185
27,1443.5534292926166,1443.5592364036174,0.918426513671875
28,1425.6617202985628,1425.667527409564,0.8046104311943054
29,1424.7325825384044,1424.7383896494052,0.8478012681007385
30,1699.992547540882,1699.9983546518831,0.8284388184547424
31,1692.2632827985628,1692.269089909564,0.8035097122192383
32,1691.8858205834986,1691.8916276944994,0.8377241492271423
33,1689.3655344090685,1689.3713415200693,0.8638796806335449
34,1689.1622855240337,1689.1680926350348,0.8911430835723877
35,1687.9602135468285,1687.9660206578296,0.8849939703941345
36,1684.1449416191774,1684.1507487301783,0.8401156067848206
37,1754.3158932885283,1754.3217003995292,0.72322016954422
38,1750.7735555779236,1750.7793626889247,0.9327687621116638
39,1750.4425502508673,1750.4483573618681,0.8336992263793945
40,1749.0662649436324,1749.0720720546333,0.7720646262168884
41,1743.1488188336225,1743.1546259446234,0.7668511867523193
42,1742.4113157364966,1742.4171228474975,0.7052521109580994
43,1741.5402490863478,1741.546056197349,0.7098702788352966
44,1736.6564687345144,1736.6622758455153,0.7372193336486816
45,1736.4938696264867,1736.4996767374876,0.8014538884162903
46,1724.1595658603815,1724.1653729713826,0.7048472762107849
47,1722.2548334520566,1722.2606405630574,0.8678495287895203
48,1721.7496147949703,1721.7554219059712,0.7325664162635803
49,1721.0934112518582,1721.0992183628593,0.7666454315185547
50,1719.966831717666,1719.972638828667,0.8050415515899658
51,1719.902953496655,1719.9087606076562,0.7013238072395325
52,1719.5603339475965,1719.5661410585976,0.9337241053581238
53,1719.3512779515609,1719.357085062562,0.843336284160614
54,1718.8402521834737,1718.8460592944748,0.7500502467155457
55,1718.7473384074578,1718.753145518459,0.7210972905158997
56,1718.5905464104312,1718.596353521432,0.78375643491745
57,1718.027256643335,1718.033063754336,0.7885050177574158
58,1717.5162308752479,1717.5220379862487,0.7093871235847473
59,1716.801956222126,1716.8077633331268,0.7116672992706299
60,1714.6126753747521,1714.6184824857532,0.7229886651039124
61,1712.818278075446,1712.824085186447,0.7819839119911194
62,1711.8194549832756,1711.8252620942765,0.707375705242157
63,1710.251535013008,1710.257342124009,0.8324030041694641
64,1706.6511261923933,1706.6569333033945,0.7767032980918884
65,1701.9822089475965,1701.9880160585976,0.755977213382721
66,1700.9253147454162,1700.9311218564173,0.7231431007385254
67,1808.6973101461842,1808.7031172571853,0.7061381936073303
68,1804.893652440535,1804.8994595515362,0.753875732421875
69,1804.7600888875124,1804.7658959985133,0.7108733057975769
70,1804.6265253344895,1804.6323324454906,0.8014671206474304
71,1800.41056274777,1800.416369858771,0.7036618590354919
72,1793.6801210976214,1793.6859282086225,0.7754920125007629
73,1792.704526449455,1792.7103335604559,0.7880306839942932
74,1792.4954704534193,1792.5012775644202,0.8915587067604065
75,1791.4850331392468,1791.4908402502479,0.8092474341392517
76,1791.1830633671952,1791.1888704781961,0.7754098773002625
77,1791.1482207011893,1791.1540278121902,0.7484921813011169
78,1790.7591442641228,1790.764951375124,0.9339253902435303
79,1790.5791238230922,1790.584930934093,0.7510537505149841
80,1786.856765671457,1786.8625727824578,0.8246123790740967
81,1772.8674352700693,1772.8732423810704,0.7042571902275085
82,1763.2915092294352,1763.297316340436,0.8543040156364441
83,1762.710798129336,1762.716605240337,0.8006529808044434
84,1762.5307776883053,1762.5365847993062,0.7336342334747314
85,1761.6597110381565,1761.6655181491576,0.7190966606140137
86,1761.0848070490586,1761.0906141600594,0.7931005358695984
87,1759.39493774777,1759.400744858771,0.7394281029701233
88,1759.2555670837462,1759.2613741947473,0.8710973262786865
89,1861.1333448185085,1861.1391519295094,0.8090546131134033
90,1845.767729109886,1845.773536220887,0.8315110206604004
91,1833.0501560177156,1833.0559631287165,0.8759568333625793
92,1832.4694449176166,1832.4752520286174,0.8625354766845703
93,1818.1781447441774,1818.1839518551783,0.8124954104423523
94,1817.185128763008,1817.190935874009,0.8104332089424133
