,start_freq,end_freq,probability,index
0,1857.6187133789062,1857.6301574707031,0.573,1638.0
1,1850.3631591796875,1850.3746032714844,0.522,5442.0
2,1847.5822448730469,1847.5936889648438,0.586,6900.0
3,1845.8999633789062,1845.9114074707031,0.537,7782.0
4,1837.5343322753906,1837.5457763671875,0.513,12168.0
5,1837.5,1837.5114440917969,0.576,12186.0
6,1837.4198913574219,1837.4313354492188,0.727,12228.0
7,1836.4242553710938,1836.4356994628906,0.552,12750.0
8,1835.4515075683594,1835.4629516601562,0.524,13260.0
9,1832.1670532226562,1832.1784973144531,0.504,14982.0
10,1816.4657592773438,1816.4772033691406,0.501,23214.0
11,1799.3568420410156,1799.3682861328125,0.556,32184.0
12,1923.4336853027344,1923.4451293945312,0.626,60.0
13,1923.37646484375,1923.3879089355469,0.778,90.0
14,1923.3650207519531,1923.37646484375,0.803,96.0
15,1923.1246948242188,1923.1361389160156,0.81,222.0
16,1923.0789184570312,1923.0903625488281,0.895,246.0
17,1923.0560302734375,1923.0674743652344,0.735,258.0
18,1923.0331420898438,1923.0445861816406,0.777,270.0
19,1922.8157043457031,1922.8271484375,0.573,384.0
20,1922.8042602539062,1922.8157043457031,0.532,390.0
21,1922.6898193359375,1922.7012634277344,0.522,450.0
22,1922.6783752441406,1922.6898193359375,0.533,456.0
23,1922.2892761230469,1922.3007202148438,0.622,660.0
24,1921.4767456054688,1921.4881896972656,0.539,1086.0
25,1921.3851928710938,1921.3966369628906,0.92,1134.0
26,1921.3508605957031,1921.3623046875,0.764,1152.0
27,1921.3279724121094,1921.3394165039062,0.532,1164.0
28,1921.3050842285156,1921.3165283203125,0.593,1176.0
29,1921.2821960449219,1921.2936401367188,0.541,1188.0
30,1921.17919921875,1921.1906433105469,0.503,1242.0
31,1921.1677551269531,1921.17919921875,0.528,1248.0
32,1921.1219787597656,1921.1334228515625,0.515,1272.0
33,1921.0762023925781,1921.087646484375,0.546,1296.0
34,1921.0418701171875,1921.0533142089844,0.514,1314.0
35,1921.0304260253906,1921.0418701171875,0.619,1320.0
36,1921.0075378417969,1921.0189819335938,0.509,1332.0
37,1920.9388732910156,1920.9503173828125,0.658,1368.0
38,1918.2723999023438,1918.2838439941406,0.962,2766.0
39,1918.2380676269531,1918.24951171875,0.542,2784.0
40,1918.1350708007812,1918.1465148925781,0.524,2838.0
41,1918.1236267089844,1918.1350708007812,0.722,2844.0
42,1918.06640625,1918.0778503417969,0.543,2874.0
43,1894.3885803222656,1894.4000244140625,0.621,15288.0
44,1886.572265625,1886.5837097167969,0.515,19386.0
45,1877.1766662597656,1877.1881103515625,0.677,24312.0
46,1872.7363586425781,1872.747802734375,0.712,26640.0
47,1869.5320129394531,1869.54345703125,0.554,28320.0
48,1868.6508178710938,1868.6622619628906,0.537,28782.0
49,1868.0099487304688,1868.0213928222656,0.508,29118.0
50,1866.9685363769531,1866.97998046875,0.717,29664.0
51,1864.5309448242188,1864.5423889160156,0.534,30942.0
52,1862.4481201171875,1862.4595642089844,0.595,32034.0
53,1985.2317810058594,1985.2432250976562,0.539,588.0
54,1981.3064575195312,1981.3179016113281,0.619,2646.0
55,1978.1707763671875,1978.1822204589844,0.668,4290.0
56,1969.8051452636719,1969.8165893554688,0.733,8676.0
57,1964.2318725585938,1964.2433166503906,0.53,11598.0
58,1964.02587890625,1964.0373229980469,0.808,11706.0
59,1963.9686584472656,1963.9801025390625,0.58,11736.0
60,1963.8084411621094,1963.8198852539062,0.67,11820.0
61,1963.1446838378906,1963.1561279296875,0.84,12168.0
62,1963.0073547363281,1963.018798828125,0.695,12240.0
63,1962.7784729003906,1962.7899169921875,0.563,12360.0
64,1962.7670288085938,1962.7784729003906,0.507,12366.0
65,1961.8171691894531,1961.82861328125,0.725,12864.0
66,1957.6744079589844,1957.6858520507812,0.624,15036.0
67,1954.2411804199219,1954.2526245117188,0.814,16836.0
68,1954.2068481445312,1954.2182922363281,0.566,16854.0
69,1953.9665222167969,1953.9779663085938,0.574,16980.0
70,1953.4629821777344,1953.4744262695312,0.65,17244.0
71,1950.7164001464844,1950.7278442382812,0.772,18684.0
72,1950.6706237792969,1950.6820678710938,0.734,18708.0
73,1949.8466491699219,1949.8580932617188,0.898,19140.0
74,1949.7665405273438,1949.7779846191406,0.531,19182.0
75,1949.0226745605469,1949.0341186523438,0.674,19572.0
76,1948.3016967773438,1948.3131408691406,0.604,19950.0
77,1948.1986999511719,1948.2101440429688,0.825,20004.0
78,1948.1643676757812,1948.1758117675781,0.584,20022.0
79,1946.7910766601562,1946.8025207519531,0.644,20742.0
80,1942.6712036132812,1942.6826477050781,0.514,22902.0
81,1942.4880981445312,1942.4995422363281,0.654,22998.0
82,1937.2123718261719,1937.2238159179688,0.604,25764.0
83,1935.9992980957031,1936.0107421875,0.542,26400.0
84,1935.0265502929688,1935.0379943847656,0.815,26910.0
85,1932.3829650878906,1932.3944091796875,0.529,28296.0
86,1930.8723449707031,1930.8837890625,0.576,29088.0
87,1930.6892395019531,1930.70068359375,0.529,29184.0
88,1929.0184020996094,1929.0298461914062,0.699,30060.0
89,1928.7895202636719,1928.8009643554688,0.608,30180.0
90,1928.7094116210938,1928.7208557128906,0.651,30222.0
91,1928.6865234375,1928.6979675292969,0.533,30234.0
92,1928.594970703125,1928.6064147949219,0.63,30282.0
93,1928.5606384277344,1928.5720825195312,0.576,30300.0
94,1928.5263061523438,1928.5377502441406,0.529,30318.0
95,1928.1028747558594,1928.1143188476562,0.662,30540.0
96,1928.0570983886719,1928.0685424804688,0.528,30564.0
97,1927.9655456542969,1927.9769897460938,0.516,30612.0
98,1926.6380310058594,1926.6494750976562,0.826,31308.0
99,1925.3562927246094,1925.3677368164062,0.93,31980.0
100,1925.1846313476562,1925.1960754394531,0.598,32070.0
101,1925.1274108886719,1925.1388549804688,0.527,32100.0
102,1924.9671936035156,1924.9786376953125,0.636,32184.0
103,1924.932861328125,1924.9443054199219,0.652,32202.0
104,1924.7955322265625,1924.8069763183594,0.608,32274.0
105,1924.6009826660156,1924.6124267578125,0.858,32376.0
106,1924.4064331054688,1924.4178771972656,0.702,32478.0
107,1923.8456726074219,1923.8571166992188,0.547,32772.0
108,2048.883819580078,2048.895263671875,0.675,144.0
109,2044.0200805664062,2044.0315246582031,0.591,2694.0
110,2042.4293518066406,2042.4407958984375,0.726,3528.0
111,2036.90185546875,2036.9132995605469,0.745,6426.0
112,2036.8675231933594,2036.8789672851562,0.595,6444.0
113,2035.3225708007812,2035.3340148925781,0.636,7254.0
114,2032.9193115234375,2032.9307556152344,0.607,8514.0
115,2032.6332092285156,2032.6446533203125,0.587,8664.0
116,2030.8708190917969,2030.8822631835938,0.629,9588.0
117,2020.513916015625,2020.5253601074219,0.58,15018.0
118,2006.1058044433594,2006.1172485351562,0.552,22572.0
119,2004.5379638671875,2004.5494079589844,0.577,23394.0
120,1998.7129211425781,1998.724365234375,0.531,26448.0
121,1991.9609069824219,1991.9723510742188,0.621,29988.0
122,1989.8094177246094,1989.8208618164062,0.717,31116.0
123,1987.1315002441406,1987.1429443359375,0.776,32520.0
124,1987.1200561523438,1987.1315002441406,0.792,32526.0
125,1986.9140625,1986.9255065917969,0.545,32634.0
